HGNC	Tissue
LAMP2	endometrium 2
LAMP2	cerebellum
LAMP2	caudate
LAMP2	caudate
LAMP2	cerebral cortex
LAMP2	endometrium 2
LAMP2	liver
LAMP2	cerebellum
LAMP2	appendix
LAMP2	appendix
LAMP2	bone marrow
LAMP2	adrenal gland
LAMP2	breast
LAMP2	bronchus
LAMP2	parathyroid gland
LAMP2	placenta
LAMP2	cerebellum
LAMP2	tonsil
LAMP2	placenta
LAMP2	cerebral cortex
LAMP2	cerebral cortex
LAMP2	cerebral cortex
LAMP2	cervix, uterine
LAMP2	cervix, uterine
LAMP2	breast
LAMP2	breast
LAMP2	ovary
LAMP2	pancreas
LAMP2	pancreas
LAMP2	kidney
LAMP2	thyroid gland
LAMP2	soft tissue 1
LAMP2	soft tissue 1
LAMP2	soft tissue 1
LAMP2	epididymis
LAMP2	esophagus
LAMP2	fallopian tube
LAMP2	gallbladder
LAMP2	heart muscle
LAMP2	hippocampus
LAMP2	hippocampus
LAMP2	kidney
LAMP2	duodenum
LAMP2	endometrium 1
LAMP2	endometrium 1
LAMP2	tonsil
LAMP2	tonsil
LAMP2	urinary bladder
LAMP2	vagina
LAMP2	lung
LAMP2	lymph node
LAMP2	lymph node
LAMP2	nasopharynx
LAMP2	oral mucosa
LAMP2	ovary
LAMP2	testis
LAMP2	testis
LAMP2	small intestine
LAMP2	smooth muscle
LAMP2	prostate
LAMP2	rectum
LAMP2	salivary gland
LAMP2	seminal vesicle
LAMP2	skeletal muscle
LAMP2	skin 1
LAMP2	colon
LAMP2	colon
LAMP2	colon
LAMP2	skin 1
LAMP2	skin 2
LAMP2	soft tissue 2
LAMP2	soft tissue 2
LAMP2	soft tissue 2
LAMP2	spleen
LAMP2	spleen
LAMP2	stomach 1
LAMP2	stomach 2
LAMP2	skin 1
LAMP2	liver
LAMP2	lung
LAMP2	skin 1
VPS41	cerebellum
VPS41	esophagus
VPS41	caudate
VPS41	caudate
VPS41	endometrium 1
VPS41	lymph node
VPS41	fallopian tube
VPS41	cerebellum
VPS41	cerebellum
VPS41	lymph node
VPS41	nasopharynx
VPS41	oral mucosa
VPS41	colon
VPS41	duodenum
VPS41	endometrium 1
VPS41	endometrium 2
VPS41	endometrium 2
VPS41	epididymis
VPS41	placenta
VPS41	cerebral cortex
VPS41	cerebral cortex
VPS41	cerebral cortex
VPS41	cerebral cortex
VPS41	cervix, uterine
VPS41	cervix, uterine
VPS41	ovary
VPS41	ovary
VPS41	pancreas
VPS41	pancreas
VPS41	parathyroid gland
VPS41	skin 2
VPS41	small intestine
VPS41	smooth muscle
VPS41	soft tissue 1
VPS41	gallbladder
VPS41	heart muscle
VPS41	hippocampus
VPS41	hippocampus
VPS41	colon
VPS41	skeletal muscle
VPS41	skin 1
VPS41	skin 1
VPS41	skin 1
VPS41	bronchus
VPS41	lung
VPS41	thyroid gland
VPS41	tonsil
VPS41	tonsil
VPS41	tonsil
VPS41	adrenal gland
VPS41	appendix
VPS41	appendix
VPS41	bone marrow
VPS41	breast
VPS41	breast
VPS41	breast
VPS41	liver
VPS41	lung
VPS41	skin 1
VPS41	prostate
VPS41	rectum
VPS41	soft tissue 1
VPS41	placenta
VPS41	kidney
VPS41	liver
VPS41	salivary gland
VPS41	seminal vesicle
VPS41	testis
VPS41	soft tissue 2
